Subject,Channel,Degree_Centrality,Clustering_Coefficient,Betweenness_Centrality,Eigenvector_Centrality,Connectivity_Type
sub-001,0,0.05555555555555555,0.0,0.0,,MI
sub-001,1,0.05555555555555555,0.0,0.0,,MI
sub-001,2,0.38888888888888884,1.0,0.0,,MI
sub-001,3,0.38888888888888884,1.0,0.0,,MI
sub-001,4,0.5,0.9166666666666666,0.0029567382508558977,,MI
sub-001,5,0.4444444444444444,0.9642857142857143,0.0009337068160597572,,MI
sub-001,6,0.4444444444444444,0.9642857142857143,0.0009337068160597572,,MI
sub-001,7,0.0,0.0,0.0,,MI
sub-001,8,0.0,0.0,0.0,,MI
sub-001,9,0.0,0.0,0.0,,MI
sub-001,10,0.0,0.0,0.0,,MI
sub-001,11,0.0,0.0,0.0,,MI
sub-001,12,0.611111111111111,0.7272727272727273,0.03569872393401805,,MI
sub-001,13,0.5,0.9166666666666666,0.002956738250855898,,MI
sub-001,14,0.1111111111111111,1.0,0.0,,MI
sub-001,15,0.611111111111111,0.7272727272727273,0.03569872393401805,,MI
sub-001,16,0.5555555555555556,0.8666666666666667,0.006286959228135699,,MI
sub-001,17,0.5555555555555556,0.8666666666666667,0.006286959228135699,,MI
sub-001,18,0.5555555555555556,0.8666666666666667,0.006286959228135699,,MI
sub-002,0,0.0,0.0,0.0,,MI
sub-002,1,0.0,0.0,0.0,,MI
sub-002,2,0.38888888888888884,0.6666666666666666,0.022720199190787424,,MI
sub-002,3,0.4444444444444444,0.8928571428571429,0.003485838779956427,,MI
sub-002,4,0.16666666666666666,1.0,0.0,,MI
sub-002,5,0.611111111111111,0.6909090909090909,0.03482726423902895,,MI
sub-002,6,0.0,0.0,0.0,,MI
sub-002,7,0.5555555555555556,0.7333333333333333,0.022564581388110797,,MI
sub-002,8,0.0,0.0,0.0,,MI
sub-002,9,0.0,0.0,0.0,,MI
sub-002,10,0.16666666666666666,0.6666666666666666,0.0013071895424836603,,MI
sub-002,11,0.4444444444444444,0.9285714285714286,0.0021786492374727667,,MI
sub-002,12,0.4444444444444444,0.7142857142857143,0.0193588546529723,,MI
sub-002,13,0.0,0.0,0.0,,MI
sub-002,14,0.4444444444444444,0.75,0.023498288204170558,,MI
sub-002,15,0.5555555555555556,0.7333333333333333,0.022564581388110797,,MI
sub-002,16,0.4444444444444444,0.8928571428571429,0.003485838779956427,,MI
sub-002,17,0.5555555555555556,0.8,0.010239651416122004,,MI
sub-002,18,0.5555555555555556,0.8,0.010239651416122004,,MI
sub-003,0,0.5555555555555556,0.7777777777777778,0.018207282913165267,,MI
sub-003,1,0.0,0.0,0.0,,MI
sub-003,2,0.0,0.0,0.0,,MI
sub-003,3,0.0,0.0,0.0,,MI
sub-003,4,0.16666666666666666,1.0,0.0,,MI
sub-003,5,0.0,0.0,0.0,,MI
sub-003,6,0.0,0.0,0.0,,MI
sub-003,7,0.0,0.0,0.0,,MI
sub-003,8,0.4444444444444444,0.9642857142857143,0.0009337068160597572,,MI
sub-003,9,0.0,0.0,0.0,,MI
sub-003,10,0.5555555555555556,0.8666666666666667,0.006286959228135699,,MI
sub-003,11,0.38888888888888884,1.0,0.0,,MI
sub-003,12,0.611111111111111,0.7454545454545455,0.024805477746654217,,MI
sub-003,13,0.5555555555555556,0.8666666666666667,0.006286959228135699,,MI
sub-003,14,0.611111111111111,0.7454545454545455,0.024805477746654217,,MI
sub-003,15,0.5,0.9166666666666666,0.002956738250855898,,MI
sub-003,16,0.5555555555555556,0.8666666666666667,0.006286959228135699,,MI
sub-003,17,0.4444444444444444,0.9642857142857143,0.0009337068160597572,,MI
sub-003,18,0.38888888888888884,1.0,0.0,,MI
sub-004,0,0.0,0.0,0.0,,MI
sub-004,1,0.16666666666666666,1.0,0.0,,MI
sub-004,2,0.611111111111111,0.6545454545454545,0.059284470068783804,,MI
sub-004,3,0.38888888888888884,0.9047619047619048,0.0035848682907506438,,MI
sub-004,4,0.5555555555555556,0.7555555555555555,0.02159383826050493,,MI
sub-004,5,0.5555555555555556,0.6888888888888889,0.043674807400297604,,MI
sub-004,6,0.1111111111111111,1.0,0.0,,MI
sub-004,7,0.0,0.0,0.0,,MI
sub-004,8,0.0,0.0,0.0,,MI
sub-004,9,0.0,0.0,0.0,,MI
sub-004,10,0.4444444444444444,0.7857142857142857,0.01379252555723144,,MI
sub-004,11,0.5555555555555556,0.7555555555555555,0.02159383826050493,,MI
sub-004,12,0.3333333333333333,1.0,0.0,,MI
